hobbies_pastimes,sports_activities,cultural_artistic,intellectual_academic,user_id
"Model building (e.g., airplanes, ships)",Ballet,Music concerts,Genetics research,473
Painting,Kickboxing,Indigenous art experiences,Computer programming hackathons,474
Antiques collecting,Surfing,Shakespearean plays,Bioinformatics symposiums,475
Scrapbooking,Volleyball,Museums,Economics forums,476
Yoga,Soccer,Shakespearean plays,Economics forums,477
Calligraphy,Gymnastics,Museums,Political debates,478
Reading,Judo,Poetry slams,Scientific research,479
Sewing,Skiing,Music concerts,Physics lectures,480
Painting,Golf,Photography exhibitions,Science fiction literature,481
Knitting,Ultimate Frisbee,Renaissance art appreciation,Chemistry experiments,482
Birdwatching,Running,Theater workshops,Political debates,483
Camping,Karate,Theater workshops,Computer programming hackathons,484
Astronomy,Soccer,Cultural festivals,History lectures,485
Knitting,Judo,Theater,Archaeological digs,486
Cycling,Soccer,Pottery workshops,Sociology conferences,487
Cycling,Rock climbing,Music concerts,Scientific research,488
Pottery,Running,Symphony orchestra performances,Linguistics workshops,489
Yoga,Mountain biking,Baroque music appreciation,Cultural anthropology lectures,490
Baking,Martial arts,Renaissance art appreciation,Genetics research,491
Antiques collecting,Hip-hop dance,Street art tours,Genetics research,492
Astronomy,Judo,Music concerts,Chemistry experiments,493
Stamp collecting,Horseback riding,Live storytelling events,Computer programming hackathons,494
Antiques collecting,Golf,Poetry readings,Computer programming hackathons,495
Playing chess,Yoga,Music concerts,Chemistry experiments,496
Meditation,Ballet,Jazz clubs,Science fiction literature,497
Astronomy,Sailing,Cultural festivals,Cultural anthropology lectures,498
Reading,Mountain biking,Shakespearean plays,Ethical debates,499
Camping,Cycling,Impressionist art appreciation,Environmental sustainability workshops,500
Stamp collecting,Rowing,Shakespearean plays,Physics lectures,501
Meditation,Judo,Live storytelling events,Physics lectures,502
Calligraphy,Sailing,Film analysis clubs,Sociology conferences,503
Calligraphy,Fencing,Film festivals,Chemistry experiments,504
Calligraphy,Judo,Opera,Ethical debates,505
Hiking,Yoga,Poetry readings,Psychology seminars,506
Meditation,Rowing,Art galleries,Linguistics workshops,507
"Model building (e.g., airplanes, ships)",Judo,Impressionist art appreciation,Economics forums,508
DIY projects,Swimming,Poetry readings,Archaeological digs,509
Photography,Cycling,Jazz clubs,Astronomy clubs,510
Coin collecting,Soccer,Photography exhibitions,Ethical debates,511
Sewing,Cycling,Opera,Science fiction literature,512
Scuba diving,Skiing,Ballet,Educational technology conferences,513
Hiking,Martial arts,Classical music appreciation,Genetics research,514
"Model building (e.g., airplanes, ships)",Rock climbing,Pottery workshops,Medical ethics debates,515
Birdwatching,Cycling,Street art tours,Genetics research,516
DIY projects,Skateboarding,Cultural festivals,Science fiction literature,517
Cooking,Mountain biking,Music concerts,Medical ethics debates,518
Stamp collecting,Ultimate Frisbee,Theater workshops,Literature appreciation groups,519
Scrapbooking,Horseback riding,Poetry readings,Economics forums,520
Painting,Skateboarding,Book clubs,Philosophy discussions,521
Baking,Skateboarding,Photography exhibitions,Sociology conferences,522
Woodworking,Ballet,Sculpture gardens,Chemistry experiments,523
Photography,Gymnastics,Pottery workshops,Political debates,524
Sewing,Running,Art galleries,Computer programming hackathons,525
Knitting,Mountain biking,Photography exhibitions,Economics forums,526
Birdwatching,Swimming,Live storytelling events,Medical ethics debates,527
Hiking,Ballet,Book clubs,Astronomy clubs,528
"Model building (e.g., airplanes, ships)",Martial arts,Shakespearean plays,Cultural anthropology lectures,529
Hiking,Mountain biking,Art galleries,Science fiction literature,530
Cooking,Yoga,Film festivals,Philosophy discussions,531
Photography,Karate,Baroque music appreciation,Psychology seminars,532
Antiques collecting,Running,Opera appreciation,Environmental sustainability workshops,533
Yoga,Rugby,Cultural festivals,Political debates,534
Woodworking,Karate,Theater workshops,Psychology seminars,535
Reading,Sailing,Book clubs,Literature appreciation groups,536
Antiques collecting,Yoga,Cultural festivals,Computer programming hackathons,537
Scrapbooking,Hip-hop dance,Opera appreciation,Economics forums,538
Meditation,Skateboarding,Calligraphy classes,Political science forums,539
Yoga,Swimming,Street art tours,Psychology seminars,540
Baking,Archery,Book clubs,Bioinformatics symposiums,541
Baking,Fencing,Stand-up comedy shows,Data analysis workshops,542
Astronomy,Triathlons,Ballet,Astronomy clubs,543
Calligraphy,Tennis,Art galleries,Educational technology conferences,544
Hiking,Ballet,Symphony orchestra performances,Data analysis workshops,545
DIY projects,Fencing,Book clubs,Educational technology conferences,546
Photography,Tennis,Book clubs,Physics lectures,547
Antiques collecting,Ultimate Frisbee,Art galleries,Astronomy clubs,548
Pottery,Running,Museums,Bioinformatics symposiums,549
Gardening,Kickboxing,Music concerts,Genetics research,550
Playing chess,Skiing,Film festivals,Climate change discussions,551
Pottery,Ultimate Frisbee,Shakespearean plays,Robotics competitions,552
"Model building (e.g., airplanes, ships)",Kickboxing,Theater workshops,Literature appreciation groups,553
Gardening,Skateboarding,Poetry slams,Data analysis workshops,554
Meditation,Triathlons,Street art tours,Sociology conferences,555
Baking,Hip-hop dance,World music concerts,Political science forums,556
Calligraphy,Skiing,World music concerts,History lectures,557
Fishing,Martial arts,Indigenous art experiences,History lectures,558
Meditation,Triathlons,Art galleries,Scientific research,559
Painting,Ballet,Shakespearean plays,Ethical debates,560
Stamp collecting,Horseback riding,Opera,Bioinformatics symposiums,561
Coin collecting,Running,Indigenous art experiences,Political debates,562
Camping,Martial arts,Jazz clubs,Data analysis workshops,563
Hiking,Rock climbing,Theater workshops,Astronomy clubs,564
Yoga,Judo,Indigenous art experiences,Literature appreciation groups,565
Cycling,Cycling,Renaissance art appreciation,Climate change discussions,566
Meditation,Cycling,Film festivals,Linguistics workshops,567
Calligraphy,Skateboarding,Ballet,Astronomy clubs,568
Stamp collecting,Rock climbing,Renaissance art appreciation,Educational technology conferences,569
Yoga,Ultimate Frisbee,World music concerts,Medical ethics debates,570
Scuba diving,Ballet,Stand-up comedy shows,Science fiction literature,571
Hiking,Rugby,Opera appreciation,History lectures,572
Coin collecting,Rugby,Poetry slams,Political debates,573
Woodworking,Sailing,Film festivals,Sociology conferences,574
Cycling,Cycling,Theater workshops,Linguistic analysis,575
Writing,Ultimate Frisbee,Jazz clubs,Genetics research,576
Calligraphy,Skiing,Classical music appreciation,Computer programming hackathons,577
Woodworking,Yoga,Renaissance art appreciation,Ethical debates,578
Playing guitar,Surfing,Stand-up comedy shows,Climate change discussions,579
Birdwatching,Rock climbing,Impressionist art appreciation,Genetics research,580
Fishing,Rowing,Ballet,Sociology conferences,581
Meditation,Fencing,Calligraphy classes,Computer programming hackathons,582
Yoga,Martial arts,Art galleries,Legal seminars,583
Painting,Triathlons,Stand-up comedy shows,Physics lectures,584
Coin collecting,Ultimate Frisbee,Theater,Sociology conferences,585
Cycling,Karate,Art galleries,Political science forums,586
Scrapbooking,Golf,Opera appreciation,Archaeological digs,587
DIY projects,Triathlons,Theater,Bioinformatics symposiums,588
Reading,Basketball,Music concerts,Economics forums,589
Cycling,Martial arts,Music concerts,Physics lectures,590
Scrapbooking,Volleyball,Shakespearean plays,Genetics research,591
Fishing,Skiing,Film festivals,Environmental sustainability workshops,592
Meditation,Martial arts,Live storytelling events,Ethical debates,593
Painting,Karate,Symphony orchestra performances,Genetics research,594
Antiques collecting,Swimming,Classical music appreciation,Bioinformatics symposiums,595
Writing,Martial arts,Renaissance art appreciation,Ethical debates,596
Coin collecting,Skateboarding,Street art tours,Scientific research,597
Playing chess,Ballet,Renaissance art appreciation,Linguistics workshops,598
Baking,Triathlons,Impressionist art appreciation,Ethical debates,599
Scuba diving,Golf,World music concerts,Genetics research,600
Yoga,Sailing,Museums,Genetics research,601
Playing chess,Kickboxing,Renaissance art appreciation,Linguistics workshops,602
Knitting,Rugby,Opera appreciation,Astronomy clubs,603
Painting,Fencing,Cultural festivals,Chemistry experiments,604
Fishing,Yoga,Baroque music appreciation,Economics forums,605
Scuba diving,Gymnastics,Classical music appreciation,Physics lectures,606
Baking,Ballet,Street art tours,Legal seminars,607
Calligraphy,Gymnastics,Art galleries,Psychology seminars,608
Sewing,Volleyball,Opera appreciation,Linguistics workshops,609
Gardening,Yoga,Museums,Chemistry experiments,610
Reading,Tennis,Indigenous art experiences,Climate change discussions,611
Knitting,Archery,Indigenous art experiences,Physics lectures,612
Cooking,Yoga,Art galleries,Legal seminars,613
Painting,Skateboarding,Theater workshops,Environmental sustainability workshops,614
Playing guitar,Hip-hop dance,Book clubs,Literature appreciation groups,615
Playing chess,Swimming,World music concerts,Mathematics competitions,616
Ceramics,Skateboarding,World music concerts,Political science forums,617
"Model building (e.g., airplanes, ships)",Running,Pottery workshops,Psychology seminars,618
"Model building (e.g., airplanes, ships)",Judo,Shakespearean plays,Philosophy discussions,619
Gardening,Skiing,Symphony orchestra performances,Computer programming hackathons,620
Stamp collecting,Skateboarding,Impressionist art appreciation,Astronomy clubs,621
Scrapbooking,Basketball,Indigenous art experiences,Economics forums,622
Playing guitar,Hip-hop dance,Theater workshops,Cultural anthropology lectures,623
Sewing,Rugby,Film analysis clubs,Climate change discussions,624
Writing,Mountain biking,Music concerts,Sociology conferences,625
Hiking,Swimming,Renaissance art appreciation,Literature appreciation groups,626
Pottery,Snowboarding,Renaissance art appreciation,Medical ethics debates,627
Meditation,Archery,Renaissance art appreciation,Academic publishing,628
Stamp collecting,Martial arts,Theater,Genetics research,629
Woodworking,Tennis,Live storytelling events,Psychology seminars,630
Cooking,Mountain biking,Indigenous art experiences,Chemistry experiments,631
Calligraphy,Horseback riding,Art galleries,History lectures,632
"Model building (e.g., airplanes, ships)",Skateboarding,Photography exhibitions,Linguistics workshops,633
Pottery,Skateboarding,Calligraphy classes,Bioinformatics symposiums,634
Antiques collecting,Golf,Indigenous art experiences,Astronomy clubs,635
Reading,Kickboxing,Calligraphy classes,Computer programming hackathons,636
Fishing,Fencing,Opera,Computer programming hackathons,637
Astronomy,Ballet,Baroque music appreciation,Physics lectures,638
Scrapbooking,Surfing,Street art tours,Computer programming hackathons,639
Stamp collecting,Surfing,Museums,Legal seminars,640
Pottery,Swimming,Shakespearean plays,Medical ethics debates,641
Birdwatching,Horseback riding,Jazz clubs,Psychology seminars,642
Cycling,Horseback riding,Classical music appreciation,Linguistic analysis,643
Playing guitar,Fencing,Jazz clubs,Medical ethics debates,644
DIY projects,Ultimate Frisbee,Museums,Environmental sustainability workshops,645
Birdwatching,Yoga,Art galleries,Robotics competitions,646
Gardening,Running,Jazz clubs,Physics lectures,647
Playing chess,Basketball,Impressionist art appreciation,Robotics competitions,648
Playing chess,Karate,Museums,Sociology conferences,649
Birdwatching,Skiing,Book clubs,Legal seminars,650
Woodworking,Archery,Sculpture gardens,Environmental sustainability workshops,651
Reading,Cycling,Live storytelling events,Medical ethics debates,652
Astronomy,Basketball,Indigenous art experiences,Legal seminars,653
Reading,Fencing,Renaissance art appreciation,Sociology conferences,654
Woodworking,Mountain biking,Cultural festivals,Bioinformatics symposiums,655
Scuba diving,Skateboarding,Indigenous art experiences,Linguistic analysis,656
Coin collecting,Martial arts,Classical music appreciation,Philosophy discussions,657
Reading,Cycling,Museums,Climate change discussions,658
DIY projects,Mountain biking,Film analysis clubs,History lectures,659
Woodworking,Archery,Film analysis clubs,Genetics research,660
Birdwatching,Rock climbing,Stand-up comedy shows,Computer programming hackathons,661
Stamp collecting,Swimming,Museums,Sociology conferences,662
Woodworking,Tennis,Museums,Environmental sustainability workshops,663
Playing guitar,Swimming,Shakespearean plays,Genetics research,664
Photography,Skateboarding,Pottery workshops,Physics lectures,665
Hiking,Kickboxing,Stand-up comedy shows,Political debates,666
Cycling,Rock climbing,Film festivals,Climate change discussions,667
Writing,Snowboarding,Book clubs,History lectures,668
Baking,Mountain biking,Live storytelling events,Sociology conferences,669
Cooking,Archery,Street art tours,Sociology conferences,670
Painting,Volleyball,Symphony orchestra performances,Computer programming hackathons,671
Yoga,Kickboxing,Calligraphy classes,Psychology seminars,672
Hiking,Soccer,Poetry slams,Climate change discussions,673
Photography,Tennis,Poetry slams,Mathematics competitions,674
Pottery,Ballet,Poetry readings,Environmental sustainability workshops,675
Playing guitar,Karate,Stand-up comedy shows,Archaeological digs,676
Ceramics,Karate,Baroque music appreciation,Genetics research,677
Cycling,Rock climbing,Book clubs,Scientific research,678
"Model building (e.g., airplanes, ships)",Cycling,Classical music appreciation,Mathematics competitions,679
Yoga,Ballet,Impressionist art appreciation,Climate change discussions,680
Camping,Martial arts,Stand-up comedy shows,Climate change discussions,681
Meditation,Karate,Calligraphy classes,Mathematics competitions,682
Calligraphy,Soccer,Theater,Environmental sustainability workshops,683
Meditation,Rugby,Pottery workshops,Archaeological digs,684
Woodworking,Volleyball,Ballet,Legal seminars,685
Painting,Cycling,Sculpture gardens,Archaeological digs,686
DIY projects,Tennis,Opera,Chemistry experiments,687
Playing chess,Running,Film festivals,Cultural anthropology lectures,688
Stamp collecting,Archery,Book clubs,Physics lectures,689
Knitting,Mountain biking,Theater,Educational technology conferences,690
Coin collecting,Cycling,Stand-up comedy shows,Climate change discussions,691
Knitting,Kickboxing,Ballet,Robotics competitions,692
Antiques collecting,Fencing,Live storytelling events,Educational technology conferences,693
Cycling,Karate,Jazz clubs,Linguistics workshops,694
"Model building (e.g., airplanes, ships)",Tennis,Pottery workshops,Scientific research,695
Scuba diving,Fencing,Renaissance art appreciation,Linguistic analysis,696
Ceramics,Basketball,Poetry readings,Physics lectures,697
Fishing,Snowboarding,Jazz clubs,Educational technology conferences,698
Writing,Judo,Theater,Linguistics workshops,699
Reading,Cycling,Poetry readings,Linguistics workshops,700
"Model building (e.g., airplanes, ships)",Golf,Poetry readings,Sociology conferences,701
Knitting,Snowboarding,Live storytelling events,Environmental sustainability workshops,702
Pottery,Soccer,Theater,Cultural anthropology lectures,703
Pottery,Snowboarding,Cultural festivals,Chemistry experiments,704
Stamp collecting,Running,Opera appreciation,Cultural anthropology lectures,705
Meditation,Yoga,Ballet,Archaeological digs,706
Cooking,Cycling,Pottery workshops,Linguistics workshops,707
Scrapbooking,Rowing,Ballet,Environmental sustainability workshops,708
Scuba diving,Gymnastics,Symphony orchestra performances,Educational technology conferences,709
Playing chess,Martial arts,Museums,Robotics competitions,710
Painting,Volleyball,Impressionist art appreciation,Ethical debates,711
Painting,Fencing,Renaissance art appreciation,Educational technology conferences,712
Cycling,Fencing,Music concerts,Cultural anthropology lectures,713
Camping,Skiing,Art galleries,Genetics research,714
Fishing,Tennis,Museums,Environmental sustainability workshops,715
Astronomy,Swimming,Calligraphy classes,Robotics competitions,716
Playing guitar,Sailing,Sculpture gardens,Literature appreciation groups,717
Stamp collecting,Skiing,Museums,Astronomy clubs,718
Camping,Gymnastics,Opera,Astronomy clubs,719
Fishing,Ultimate Frisbee,Book clubs,Climate change discussions,720
Calligraphy,Rugby,Classical music appreciation,Scientific research,721
Cooking,Rowing,Impressionist art appreciation,Economics forums,722
Scrapbooking,Skiing,Jazz clubs,Linguistics workshops,723
Camping,Fencing,Baroque music appreciation,Medical ethics debates,724
DIY projects,Swimming,Poetry slams,Political science forums,725
"Model building (e.g., airplanes, ships)",Rowing,Theater,Chemistry experiments,726
Woodworking,Martial arts,Theater workshops,Ethical debates,727
Calligraphy,Judo,Museums,Economics forums,728
"Model building (e.g., airplanes, ships)",Martial arts,Renaissance art appreciation,Bioinformatics symposiums,729
Camping,Martial arts,Photography exhibitions,Cultural anthropology lectures,730
Writing,Triathlons,Museums,Robotics competitions,731
Birdwatching,Hip-hop dance,Art galleries,Robotics competitions,732
Birdwatching,Sailing,Baroque music appreciation,Sociology conferences,733
Scuba diving,Archery,World music concerts,Data analysis workshops,734
Astronomy,Mountain biking,Shakespearean plays,Linguistic analysis,735
Photography,Basketball,Stand-up comedy shows,Bioinformatics symposiums,736
Calligraphy,Sailing,Theater,Linguistics workshops,737
Scuba diving,Rock climbing,Pottery workshops,Computer programming hackathons,738
DIY projects,Gymnastics,Classical music appreciation,Data analysis workshops,739
Ceramics,Sailing,Sculpture gardens,Cultural anthropology lectures,740
Ceramics,Archery,Classical music appreciation,Philosophy discussions,741
Gardening,Running,Sculpture gardens,Political science forums,742
DIY projects,Archery,Live storytelling events,Academic publishing,743
Ceramics,Swimming,World music concerts,Robotics competitions,744
Writing,Rock climbing,Poetry readings,Environmental sustainability workshops,745
Woodworking,Gymnastics,World music concerts,Linguistics workshops,746
Painting,Martial arts,Impressionist art appreciation,Political science forums,747
Fishing,Skateboarding,Theater,Bioinformatics symposiums,748
DIY projects,Golf,Classical music appreciation,Political science forums,749
Playing guitar,Golf,Symphony orchestra performances,Legal seminars,750
Antiques collecting,Volleyball,Art galleries,Mathematics competitions,751
Woodworking,Archery,Poetry slams,Medical ethics debates,752
DIY projects,Running,Street art tours,Political debates,753
Coin collecting,Horseback riding,Baroque music appreciation,Climate change discussions,754
Coin collecting,Yoga,Museums,Physics lectures,755
Baking,Horseback riding,Opera,Genetics research,756
Painting,Judo,Opera,Sociology conferences,757
Reading,Rock climbing,Film analysis clubs,Cultural anthropology lectures,758
Pottery,Rock climbing,Film festivals,Political debates,759
Scuba diving,Fencing,Film festivals,Mathematics competitions,760
Birdwatching,Sailing,Live storytelling events,Legal seminars,761
Baking,Yoga,Art galleries,Linguistic analysis,762
Cycling,Triathlons,Sculpture gardens,Astronomy clubs,763
Calligraphy,Triathlons,Street art tours,Ethical debates,764
Camping,Swimming,Opera,Data analysis workshops,765
Meditation,Kickboxing,Jazz clubs,Astronomy clubs,766
Coin collecting,Skiing,Ballet,Legal seminars,767
Cycling,Gymnastics,Stand-up comedy shows,Sociology conferences,768
Cycling,Golf,Cultural festivals,Philosophy discussions,769
Coin collecting,Running,Classical music appreciation,Academic publishing,770
Pottery,Horseback riding,Opera appreciation,History lectures,771
Antiques collecting,Soccer,Film analysis clubs,Chemistry experiments,772
Writing,Ultimate Frisbee,Impressionist art appreciation,Academic publishing,773
Reading,Sailing,Street art tours,Philosophy discussions,774
Antiques collecting,Basketball,Opera,Bioinformatics symposiums,775
Hiking,Skiing,Pottery workshops,Physics lectures,776
Scrapbooking,Soccer,Art galleries,Environmental sustainability workshops,777
Playing guitar,Cycling,World music concerts,Environmental sustainability workshops,778
Fishing,Sailing,Pottery workshops,Economics forums,779
Stamp collecting,Basketball,Poetry slams,Academic publishing,780
Gardening,Fencing,Street art tours,Astronomy clubs,781
Coin collecting,Horseback riding,Cultural festivals,Mathematics competitions,782
Astronomy,Gymnastics,World music concerts,Archaeological digs,783
"Model building (e.g., airplanes, ships)",Basketball,Cultural festivals,Sociology conferences,784
Fishing,Gymnastics,Ballet,Archaeological digs,785
Birdwatching,Horseback riding,Classical music appreciation,Physics lectures,786
Reading,Hip-hop dance,Pottery workshops,Mathematics competitions,787
Hiking,Karate,Stand-up comedy shows,Physics lectures,788
Yoga,Hip-hop dance,Film analysis clubs,History lectures,789
Painting,Horseback riding,World music concerts,Physics lectures,790
Painting,Rock climbing,Book clubs,Archaeological digs,791
Sewing,Gymnastics,Art galleries,Political debates,792
Astronomy,Fencing,Poetry readings,Chemistry experiments,793
Writing,Ultimate Frisbee,Museums,Legal seminars,794
Ceramics,Rock climbing,Baroque music appreciation,Linguistics workshops,795
Scrapbooking,Gymnastics,Music concerts,Environmental sustainability workshops,796
Stamp collecting,Martial arts,Poetry slams,Bioinformatics symposiums,797
Scuba diving,Rugby,Street art tours,History lectures,798
Astronomy,Judo,Film festivals,Robotics competitions,799
Sewing,Soccer,Calligraphy classes,Educational technology conferences,800
Scuba diving,Fencing,Museums,Climate change discussions,801
Pottery,Running,Museums,Legal seminars,802
Scrapbooking,Sailing,Art galleries,Physics lectures,803
Baking,Ballet,Renaissance art appreciation,Economics forums,804
Coin collecting,Mountain biking,Renaissance art appreciation,Sociology conferences,805
"Model building (e.g., airplanes, ships)",Judo,Impressionist art appreciation,Environmental sustainability workshops,806
Cooking,Tennis,Music concerts,History lectures,807
Baking,Rowing,Calligraphy classes,Literature appreciation groups,808
Cooking,Volleyball,Baroque music appreciation,Mathematics competitions,809
Meditation,Tennis,Calligraphy classes,Political debates,810
Astronomy,Ballet,Theater,Medical ethics debates,811
Antiques collecting,Surfing,Art galleries,Political science forums,812
Painting,Kickboxing,Music concerts,Sociology conferences,813
Reading,Hip-hop dance,Book clubs,Political science forums,814
"Model building (e.g., airplanes, ships)",Cycling,Baroque music appreciation,Legal seminars,815
Painting,Kickboxing,Poetry readings,Bioinformatics symposiums,816
Sewing,Swimming,Theater,Psychology seminars,817
Yoga,Fencing,Cultural festivals,Academic publishing,818
Meditation,Hip-hop dance,Jazz clubs,Astronomy clubs,819
Cooking,Sailing,Indigenous art experiences,History lectures,820
Camping,Rugby,Music concerts,Medical ethics debates,821
Gardening,Rock climbing,Cultural festivals,Cultural anthropology lectures,822
Meditation,Tennis,Pottery workshops,Chemistry experiments,823
DIY projects,Swimming,Calligraphy classes,Linguistic analysis,824
Woodworking,Skiing,Poetry slams,Genetics research,825
Cooking,Skateboarding,Cultural festivals,Sociology conferences,826
Antiques collecting,Snowboarding,Theater,Physics lectures,827
DIY projects,Basketball,Pottery workshops,Sociology conferences,828
Yoga,Gymnastics,Theater,Philosophy discussions,829
Astronomy,Skiing,Film analysis clubs,Archaeological digs,830
Fishing,Basketball,Pottery workshops,Philosophy discussions,831
Antiques collecting,Rowing,Film festivals,Environmental sustainability workshops,832
Pottery,Ultimate Frisbee,Book clubs,Sociology conferences,833
Antiques collecting,Soccer,Theater workshops,Archaeological digs,834
Writing,Golf,Classical music appreciation,Mathematics competitions,835
Woodworking,Gymnastics,Ballet,Climate change discussions,836
Pottery,Soccer,Indigenous art experiences,Academic publishing,837
Fishing,Skateboarding,Ballet,Linguistics workshops,838
Meditation,Judo,Cultural festivals,Economics forums,839
Cycling,Basketball,Pottery workshops,Robotics competitions,840
Writing,Sailing,Museums,Science fiction literature,841
Calligraphy,Ultimate Frisbee,Cultural festivals,Environmental sustainability workshops,842
Yoga,Cycling,Museums,Sociology conferences,843
Astronomy,Karate,Art galleries,Linguistics workshops,844
Ceramics,Rugby,Opera appreciation,History lectures,845
Scuba diving,Sailing,Film analysis clubs,Psychology seminars,846
Scrapbooking,Horseback riding,Book clubs,Scientific research,847
Birdwatching,Archery,Museums,Bioinformatics symposiums,848
Yoga,Martial arts,Symphony orchestra performances,Literature appreciation groups,849
Astronomy,Yoga,Poetry slams,Robotics competitions,850
Baking,Triathlons,Theater,Linguistic analysis,851
Antiques collecting,Rowing,Baroque music appreciation,Computer programming hackathons,852
Yoga,Cycling,Sculpture gardens,Economics forums,853
Writing,Running,Art galleries,Scientific research,854
Scrapbooking,Triathlons,Jazz clubs,Legal seminars,855
Cooking,Swimming,Street art tours,Bioinformatics symposiums,856
Scrapbooking,Mountain biking,Opera appreciation,Computer programming hackathons,857
Knitting,Rowing,Museums,Chemistry experiments,858
Hiking,Triathlons,Poetry readings,Sociology conferences,859
Cooking,Volleyball,Baroque music appreciation,Literature appreciation groups,860
"Model building (e.g., airplanes, ships)",Running,Poetry slams,History lectures,861
Photography,Rock climbing,Film analysis clubs,Astronomy clubs,862
Calligraphy,Horseback riding,Poetry readings,Literature appreciation groups,863
Playing chess,Triathlons,Book clubs,Economics forums,864
Meditation,Tennis,Jazz clubs,Cultural anthropology lectures,865
Pottery,Skateboarding,Film analysis clubs,Sociology conferences,866
Gardening,Cycling,Pottery workshops,Sociology conferences,867
DIY projects,Yoga,Jazz clubs,Cultural anthropology lectures,868
DIY projects,Gymnastics,Ballet,Sociology conferences,869
Woodworking,Ultimate Frisbee,Indigenous art experiences,History lectures,870
Pottery,Surfing,Film festivals,Literature appreciation groups,871
Calligraphy,Running,Indigenous art experiences,Science fiction literature,872
Cycling,Skateboarding,Cultural festivals,Data analysis workshops,873
Meditation,Golf,Music concerts,Cultural anthropology lectures,874
Writing,Skateboarding,Theater workshops,Academic publishing,875
Photography,Ultimate Frisbee,World music concerts,Economics forums,876
Writing,Soccer,Sculpture gardens,Philosophy discussions,877
Cycling,Ballet,Jazz clubs,Political science forums,878
Birdwatching,Karate,Ballet,Literature appreciation groups,879
Calligraphy,Kickboxing,Opera appreciation,Physics lectures,880
Fishing,Mountain biking,Poetry slams,History lectures,881
Calligraphy,Golf,Art galleries,Ethical debates,882
Fishing,Sailing,Film analysis clubs,Philosophy discussions,883
Baking,Golf,Ballet,Mathematics competitions,884
Birdwatching,Horseback riding,Shakespearean plays,Academic publishing,885
Knitting,Soccer,Film analysis clubs,Literature appreciation groups,886
Woodworking,Skiing,Pottery workshops,Medical ethics debates,887
Woodworking,Martial arts,Music concerts,History lectures,888
Playing guitar,Kickboxing,Film analysis clubs,Archaeological digs,889
Scuba diving,Ultimate Frisbee,Film festivals,Genetics research,890
Stamp collecting,Swimming,Pottery workshops,Chemistry experiments,891
Reading,Rock climbing,Poetry readings,Chemistry experiments,892
Calligraphy,Rugby,Art galleries,Archaeological digs,893
Gardening,Horseback riding,Calligraphy classes,Genetics research,894
Playing chess,Basketball,Cultural festivals,Physics lectures,895
Playing guitar,Martial arts,Baroque music appreciation,Medical ethics debates,896
Scuba diving,Rugby,Art galleries,Data analysis workshops,897
"Model building (e.g., airplanes, ships)",Cycling,Film festivals,Mathematics competitions,898
Gardening,Yoga,Music concerts,History lectures,899
DIY projects,Triathlons,Ballet,Scientific research,900
Hiking,Gymnastics,Sculpture gardens,Medical ethics debates,901
Scrapbooking,Martial arts,Classical music appreciation,Political science forums,902
Baking,Skiing,Book clubs,Medical ethics debates,903
"Model building (e.g., airplanes, ships)",Skateboarding,Stand-up comedy shows,Political debates,904
Yoga,Basketball,Live storytelling events,Genetics research,905
Antiques collecting,Cycling,Cultural festivals,Computer programming hackathons,906
Ceramics,Skiing,Classical music appreciation,Robotics competitions,907
DIY projects,Snowboarding,Calligraphy classes,Ethical debates,908
Scuba diving,Rock climbing,Classical music appreciation,Philosophy discussions,909
DIY projects,Skiing,Calligraphy classes,Bioinformatics symposiums,910
Scrapbooking,Cycling,Cultural festivals,Chemistry experiments,911
Cycling,Golf,Film festivals,Physics lectures,912
Antiques collecting,Surfing,Photography exhibitions,Astronomy clubs,913
Ceramics,Snowboarding,Indigenous art experiences,Robotics competitions,914
Stamp collecting,Basketball,Classical music appreciation,Scientific research,915
Astronomy,Rock climbing,Museums,Legal seminars,916
Scrapbooking,Golf,Street art tours,Climate change discussions,917
Fishing,Judo,Pottery workshops,Physics lectures,918
Antiques collecting,Rugby,Calligraphy classes,Political debates,919
Birdwatching,Ultimate Frisbee,World music concerts,Academic publishing,920
DIY projects,Snowboarding,Film analysis clubs,Literature appreciation groups,921
Scuba diving,Kickboxing,Impressionist art appreciation,Computer programming hackathons,922
Coin collecting,Swimming,Pottery workshops,Bioinformatics symposiums,923
Calligraphy,Swimming,Street art tours,Climate change discussions,924
Calligraphy,Fencing,Sculpture gardens,Robotics competitions,925
Sewing,Triathlons,Theater,Environmental sustainability workshops,926
Photography,Cycling,Renaissance art appreciation,Computer programming hackathons,927
Stamp collecting,Snowboarding,Live storytelling events,History lectures,928
Playing guitar,Mountain biking,Pottery workshops,Sociology conferences,929
Playing guitar,Yoga,Pottery workshops,Bioinformatics symposiums,930
Painting,Snowboarding,Museums,Literature appreciation groups,931
Hiking,Tennis,Jazz clubs,History lectures,932
Antiques collecting,Golf,Music concerts,Physics lectures,933
"Model building (e.g., airplanes, ships)",Mountain biking,Classical music appreciation,Computer programming hackathons,934
Birdwatching,Hip-hop dance,Impressionist art appreciation,Political debates,935
Gardening,Snowboarding,Theater,Ethical debates,936
"Model building (e.g., airplanes, ships)",Surfing,Impressionist art appreciation,Political debates,937
Photography,Kickboxing,Classical music appreciation,Psychology seminars,938
Astronomy,Gymnastics,Street art tours,Educational technology conferences,939
Meditation,Snowboarding,Opera appreciation,Ethical debates,940
